MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;408;DCC_220kV_380kV;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;BG;2021;;;40;7.94;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;BG;2021;;;21;4.782;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;BG;2021;;;7;6.144;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;BG;2021;;;25;4.46;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;BG;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;BG;2021;;;8;4.788;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;CZ;2021;84;45;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;CZ;2021;1824;1262;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;CZ;2021;3940;3212;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;CZ;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;CZ;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;CZ;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;CZ;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;CZ;2021;;;20;4000;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;CZ;2021;;;51;17450;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;CZ;2021;;;8;5400;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;CZ;2021;;;14;4000;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;CZ;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;CZ;2021;;;29;22850;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;DE;2021;315.821;360.62384;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;DE;2021;82.168;45.517;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;DE;2021;267.92413;199.12674;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;DE;2021;11116.49;5329.745;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;DE;2021;21305.377;12722.405;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;DE;2021;;;;Amprion: If there is more than one circuit on a line the highest voltage level is used.;28/03/2023;
Inventory of Transmission;5;425;Comments_2;DE;2021;;;;Amprion: Filtered by cables outside substations;28/03/2023;
Inventory of Transmission;5;426;Comments_3;DE;2021;;;;Tennet DE: For DCC_Over_380kV full km of Nordlink is reported, which is 50% property of Statnet &TenneT;28/03/2023;
Inventory of Transmission;5;427;Comments_4;DE;2021;;;;"Amprion: Filtered by status ""in operation"" and owned by Amprion; 
TenneT DE: For Nw_750kV_400kV_lower Nordlink converter only considered on TenneT Side;
TenneT DE: For Nw_400kV_330kV, Nw_400kV_220kV & Nw_400kV_110kV_lower only land-side converteres are considered for offshore lines.";28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;DE;2021;202;202;;;28/03/2023;
Inventory of Transmission;5;408;DCC_220kV_380kV;DE;2021;1798;1838.3;;;28/03/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;DE;2021;1261;638;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;DE;2021;;;271;55890;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;DE;2021;;;422;126430;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;DE;2021;;;173;70375;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;DE;2021;;;9;8543;28/03/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;DE;2021;;;2;1572;28/03/2023;
Inventory of Transmission;5;413;Of_PU_>220kV;DE;2021;;;183;37200.2;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;DE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;DE;2021;;;412;145529;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;DK;2021;620.85;366.26;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;DK;2021;258.64;230;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;DK;2021;2796.71;1706.95;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;402;ACL_275kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;DK;2021;1369.3;945.88;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;DK;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;DK;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;DK;2021;;;;;28/03/2023;
