MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;407;ACC_Over_380kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;HR;2021;5253.7;4631.36;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;HR;2021;1267.7;1105.29;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;HR;2021;1246.4;1043.35;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;HR;2021;;;;AC lines of 110 kV voltage level;28/03/2023;
Inventory of Transmission;5;425;Comments_2;HR;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;HR;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;HR;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;HR;2021;;;23;3500;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;HR;2021;;;8;2400;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;HR;2021;;;5;2000;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;HR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;401;ACL_220kV;HU;2021;1394;1099;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;HU;2021;3021;2297;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;HU;2021;268;268;;;28/03/2023;
Inventory of Transmission;5;424;Comments_1;HU;2021;;;;For ACL_750kV: of which 249 km is operating on 400 kV;28/03/2023;
Inventory of Transmission;5;425;Comments_2;HU;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;HU;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;HU;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;HU;2021;;;31;4960;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;HU;2021;;;41;10250;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;HU;2021;;;3;1500;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;HU;2021;;;1;1100;28/03/2023;
Inventory of Transmission;5;413;Of_PU_>220kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;HU;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;IT;2021;381;381;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;IT;2021;141;141;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;IT;2021;45111;41980;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;IT;2021;10610;8564;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;IT;2021;11154;9973;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;IT;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;IT;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;IT;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;IT;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;IT;2021;862;542;;;28/03/2023;
Inventory of Transmission;5;408;DCC_220kV_380kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;IT;2021;1578;1578;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;IT;2021;;;146;27780;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;IT;2021;;;307;77500;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;IT;2021;;;64;25800;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;IT;2021;;;180;21740;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;IT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;IT;2021;;;209;64267;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;LT;2021;0.3;0.3;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;LT;2021;4988;4278;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;402;ACL_275kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;LT;2021;1894;1729;;;28/03/2023;
Inventory of Transmission;5;404;ACL_380_400kV;LT;2021;102.7;51.35;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;LT;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;LT;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;LT;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;LT;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;LT;2021;147.17;147.17;;;28/03/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;LT;2021;;;23;4650;28/03/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;LT;2021;;;3;1800;28/03/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;LT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;LV;2021;22.37;22.37;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;LV;2021;3870.78;3075.94;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;402;ACL_275kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;LV;2021;1742.13;1731.78;;;28/03/2023;
Inventory of Transmission;5;404;ACL_380_400kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;405;ACL_750kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;LV;2021;;;;"110 kV AC lines (3870,78 km of them 82,03 km cable line);   330 kV AC lines (1742,13 km of them 22,37 km cable lines)";28/03/2023;
Inventory of Transmission;5;425;Comments_2;LV;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;LV;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;LV;2021;;;;"Transformers with highest voltage 330 kV (25 units with total power 3800 MVA);  Transformers with highest voltage 110 kV (245 units with total power 5 146.5 MVA)	";28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;LV;2021;;;270;8.9465;28/03/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;LV;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;ME;2021;;747.55;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;ME;2021;;372.7;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;ME;2021;;355.3;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;ME;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;ME;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;ME;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;ME;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;ME;2021;;;11;977.5;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;ME;2021;;;6;1850;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;ME;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;NO;2021;127.68997;114.72897;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;NO;2021;50.01;27.95;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;NO;2021;11682.696;11412.134;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;NO;2021;183.6216;154.8646;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;NO;2021;4982.326;4108.7915;;;28/03/2023;
Inventory of Transmission;5;404;ACL_380_400kV;NO;2021;9798.361;4706.589;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;NO;2021;;;;Other lines of 33-66 kV: 9179 km Route;28/03/2023;
Inventory of Transmission;5;425;Comments_2;NO;2021;;;;Other AC Cables of 33-145 kV:      2118 km Circuit length;28/03/2023;
Inventory of Transmission;5;426;Comments_3;NO;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;NO;2021;;;;"Other transformers of PU_ (33-145 kV): 458 # and 22432070 kVA;  Other transformers of Nw_420kV_xxxkV: 27 # and 5792000 kVA Other transformers of Nw_300kV_xxxkV: 27 # and 15977400 kVA;  Other transformers of Nw_300kV_xxxkV: 27 # and 15977400 kVA;  Other Nw_ transformers not listed above 65213756 kVA";28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;NO;2021;679.425;679.425;;;28/03/2023;
Inventory of Transmission;5;408;DCC_220kV_380kV;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;NO;2021;2073.06;1114.31;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;NO;2021;;;2;160;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;NO;2021;;;65;14748.8;28/03/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;NO;2021;;;49;13650;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;NO;2021;;;1;500;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;NO;2021;;;44;32844;28/03/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;NO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;NO;2021;;;93;10514.9;28/03/2023;
Inventory of Transmission;5;410;Of_PU_>400kV;NO;2021;;;39;7539;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;PL;2021;1;1;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;401;ACL_220kV;PL;2021;7352;6521;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;PL;2021;8227;7250;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;PL;2021;114;114;;;28/03/2023;
Inventory of Transmission;5;424;Comments_1;PL;2021;;;;For ACL_750kV - Part of length in PL line PL-UK. 110kV lines are not a part of transmission system.;28/03/2023;
Inventory of Transmission;5;425;Comments_2;PL;2021;;;;Underground part of a overhead line;28/03/2023;
Inventory of Transmission;5;426;Comments_3;PL;2021;;;;For DCC_Over_380kV: A half of total length of PL-SE cable;28/03/2023;
Inventory of Transmission;5;427;Comments_4;PL;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;PL;2021;127;127;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;PL;2021;;;140;24.845;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;PL;2021;;;68;21.81;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;PL;2021;;;28;12.99;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;PL;2021;;;2;2.502;28/03/2023;
Inventory of Transmission;5;413;Of_PU_>220kV;PL;2021;;;51;13.688;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;PL;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;PL;2021;;;35;17.346;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;PT;2021;2449;1681;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;PT;2021;3848;2604;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;PT;2021;3051;2950;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;PT;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;PT;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;PT;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;PT;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;PT;2021;;;5;830;05/05/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;PT;2021;;;16;6440;05/05/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;PT;2021;;;17;7650;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;PT;2021;;;72;5570;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;PT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;PT;2021;;;25;6342;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;RO;2021;0.3;0.3;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;RO;2021;42.84308;40.418;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;RO;2021;4701.2095;3875.844;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;RO;2021;5242.6035;4984.594;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;RO;2021;3.1377318;3.108;;;28/03/2023;
Inventory of Transmission;5;424;Comments_1;RO;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;RO;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;RO;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;RO;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;RO;2021;;;90;18100;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;RO;2021;;;32;8000;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;RO;2021;;;22;9100;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;RO;2021;;;23;4026;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;RO;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;RO;2021;;;19;7405;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;RS;2021;6057.065;5525.1724;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;RS;2021;1752.6982;1701.1482;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;RS;2021;1811.912;1716.3738;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;RS;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;RS;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;RS;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;RS;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;RS;2021;;;27;;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;RS;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;RS;2021;;;;;28/03/2023;Not Expected
